AC001	ｽﾗｲﾑｲﾔﾘﾝｸﾞ
UG615	破滅の攻撃強化ｽｸﾛｰﾙ(斧)
UG616	破滅の攻撃強化ｽｸﾛｰﾙ(手袋)
UG617	破滅の攻撃強化ｽｸﾛｰﾙ(鞭)
UG620	破滅の魔法攻撃強化ｽｸﾛｰﾙ(杖)
UG621	破滅の魔法攻撃強化ｽｸﾛｰﾙ(鈍器)
UG622	破滅の魔法攻撃強化ｽｸﾛｰﾙ(手袋)
UG630	破滅の防御強化ｽｸﾛｰﾙ(体)
UG631	破滅の防御強化ｽｸﾛｰﾙ(盾)
UG632	破滅の防御強化ｽｸﾛｰﾙ(頭)
UG633	破滅の防御強化ｽｸﾛｰﾙ(ﾏﾝﾄ)
UG634	破滅の防御強化ｽｸﾛｰﾙ(手袋)
UG635	破滅の防御強化ｽｸﾛｰﾙ(靴)
UG640	破滅の魔法防御強化ｽｸﾛｰﾙ(体)
UG641	破滅の魔法防御強化ｽｸﾛｰﾙ(盾)
UG642	破滅の魔法防御強化ｽｸﾛｰﾙ(頭)
UG643	破滅の魔法防御強化ｽｸﾛｰﾙ(ﾏﾝﾄ)
UG644	破滅の魔法防御強化ｽｸﾛｰﾙ(手袋)
UG645	破滅の魔法防御強化ｽｸﾛｰﾙ(靴)
UG710	奇跡の攻撃強化ｽｸﾛｰﾙ(剣)
UG711	奇跡の攻撃強化ｽｸﾛｰﾙ(槍)
UG712	奇跡の攻撃強化ｽｸﾛｰﾙ(ﾅｲﾌ)
UG713	奇跡の攻撃強化ｽｸﾛｰﾙ(鈍器)
UG714	奇跡の攻撃強化ｽｸﾛｰﾙ(杖)
UG715	奇跡の攻撃強化ｽｸﾛｰﾙ(斧)
UG716	奇跡の攻撃強化ｽｸﾛｰﾙ(手袋)
UG717	奇跡の攻撃強化ｽｸﾛｰﾙ(鞭)
UG720	奇跡の魔法攻撃強化ｽｸﾛｰﾙ(杖)
UG721	奇跡の魔法攻撃強化ｽｸﾛｰﾙ(鈍器)
UG722	奇跡の魔法攻撃強化ｽｸﾛｰﾙ(手袋)
UG730	奇跡の防御強化ｽｸﾛｰﾙ(体)
UG731	奇跡の防御強化ｽｸﾛｰﾙ(盾)
UG732	奇跡の防御強化ｽｸﾛｰﾙ(頭)
UG733	奇跡の防御強化ｽｸﾛｰﾙ(ﾏﾝﾄ)
UG734	奇跡の防御強化ｽｸﾛｰﾙ(手袋)
UG735	奇跡の防御強化ｽｸﾛｰﾙ(靴)
UG740	奇跡の魔法防御強化ｽｸﾛｰﾙ(体)
UG741	奇跡の魔法防御強化ｽｸﾛｰﾙ(盾)
UG742	奇跡の魔法防御強化ｽｸﾛｰﾙ(頭)
UG743	奇跡の魔法防御強化ｽｸﾛｰﾙ(ﾏﾝﾄ)
UG744	奇跡の魔法防御強化ｽｸﾛｰﾙ(手袋)
UG745	奇跡の魔法防御強化ｽｸﾛｰﾙ(靴)
WIP010	皮の鞭
WIP015	ｱﾝﾅのﾊｴ叩き
WIP020	鋼の鞭
WIP030	疾風の鞭
WIP040	ﾃﾞﾋﾞﾙｳｨｯﾌﾟ
WIP045	鎖鎌
WIP050	ﾛｰｽﾞｳｨｯﾌﾟ
WIP060	ﾓﾋﾞｰｳｨｯﾌﾟ
WIP070	女神の鞭
WIP080	九狐貂鞭
WIP090	神判の鞭
WIP100	蝕罪の鞭
WIP110	蓋世の鞭
